1d:9:46 | Attempt to access system files!
1d:9:46 | Superuser access verified.
1d:10:20 | Attempt to access system files!
1d:10:20 | Superuser access verified.
1d:6:03 | Loaded system file: /boot/drivers/mouse.sys
1d:6:04 | Loaded system file: /lib/libstdlua.2.so
1d:6:04 | Loaded system file: /lib/libuser.2.so
1d:6:04 | Loaded system file: /lib/libgui_txui.1.so
1d:6:04 | Darwin kernel loaded
1d:6:21 | Loaded system file: /boot/drivers/mouse.sys
1d:6:22 | Loaded system file: /lib/libstdlua.2.so
1d:6:22 | Loaded system file: /lib/libuser.2.so
1d:6:22 | Loaded system file: /lib/libgui_txui.1.so
1d:6:22 | Darwin kernel loaded
1d:7:07 | Loaded system file: /boot/drivers/mouse.sys
1d:7:08 | Loaded system file: /lib/libstdlua.2.so
1d:7:08 | Loaded system file: /lib/libuser.2.so
1d:7:08 | Loaded system file: /lib/libgui_txui.1.so
1d:7:08 | Darwin kernel loaded
1d:6:10 | Loaded system file: /boot/drivers/mouse.sys
1d:6:10 | Loaded system file: /lib/libstdlua.2.so
1d:6:10 | Loaded system file: /lib/libuser.2.so
1d:6:11 | Loaded system file: /lib/libgui_txui.1.so
1d:6:11 | Darwin kernel loaded
1d:7:14 | Downloaded contents of https://pastebin.com/raw/UK4ATXvH
1d:7:26 | Downloaded contents of https://pastebin.com/raw/V455UuCr
1d:11:09 | Loaded system file: /boot/drivers/mouse.sys
1d:11:10 | Loaded system file: /lib/libstdlua.2.so
1d:11:10 | Loaded system file: /lib/libuser.2.so
1d:11:10 | Loaded system file: /lib/libgui_txui.1.so
1d:11:10 | Darwin kernel loaded
1d:17:24 | Downloaded contents of https://pastebin.com/raw/4UrrFHzS
1d:18:05 | Downloaded contents of https://pastebin.com/raw/H7uig1Yi
1d:23:43 | Downloaded contents of https://pastebin.com/raw/SpySi6uB
2d:3:20 | Downloaded contents of https://pastebin.com/raw/H7uig1Yi
2d:6:49 | Downloaded contents of https://pastebin.com/raw/DxWtA0LA
2d:16:13 | Downloaded contents of https://pastebin.com/raw/pFhQka1B
2d:16:15 | Downloaded contents of https://pastebin.com/raw/fU9Kj9zr
2d:17:11 | Downloaded contents of https://pastebin.com/raw/qxuTTrPU
1d:6:08 | Loaded system file: /boot/drivers/mouse.sys
